18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
